Título,Autor,Ano de publicação,Número de páginas
Duna,Frank Herbert,1965,688
Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,223
O Senhor dos Anéis: A Sociedade do Anel,J.R.R. Tolkien,1954,423
Percy Jackson e o Ladrão de Raios,Rick Riordan,2005,377
"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",C.S. Lewis,1950,208
A Dança dos Dragões,George R.R Martin,2011,832
A Guerra dos Tronos : As Crônicas de Gelo e Fogo,George R.R Martin,1996,592
O Hobbit,J.R.R. Tolkien,1937,320
O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,96
1984,George Orwell,1949,328
